title,href,body,date
"GANJAR SAHABAT RAKYAT on Instagram: ""Presiden Joko Widodo dan PM ...",https://www.instagram.com/p/CnQGAV1h_Lz/,"23 Likes, 0 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Presiden Joko Widodo dan PM Malaysia Anwar Ibrahim sepakat bekerja sama memerangi diskriminasi…""",2023-01-09
"najwashihab on Instagram: ""Pak Jokowi kalau gak ada PDIP juga… aduh ...",https://www.instagram.com/p/CnRVvzspzY4/,"""Pak Jokowi kalau gak ada PDIP juga… aduh, kasihan dah."" ⁣ ⁣ Kemarin, Ketum PDIP Megawati mengungkap perannya membuat Jokowi menjadi presiden. Saat bicara capres PDIP di 2024, Ibu Mega, seperti biasanya menekankan 'hak prerogatif ketua umum', dengan santai berucap: ""Urusan gua."" ⁣ ⁣ Dua pernyataan itu tak keliru.",2023-01-10
lomba_online - Instagram,https://www.instagram.com/p/CnOeDDJydXA/,"Sebagai persyaratan untuk mengikuti Lomba Hackathon dari Sahabat Ganjar yaitu:-Peserta merupakan mahasiswa/i aktif setingkat D3/D4/S1-Setiap Universitas boleh mengirimkan lebih dari 1 Tim, (Setiap timnya beranggotakan 3 orang)-Peserta wajib mengikuti Seminar Jika kamu ingin informasi tambahan, kalian bisa menghubungi Whatsapp: Admin 1: 0899 ...",2023-01-10
londi_official on Instagram: Yang diundang yang sahabat aja ya Bu Mega ...,https://www.instagram.com/p/CnRPUbwowU8/,londi_official • Original audio,2023-01-10
"GANJAR SAHABAT RAKYAT on Instagram: ""Presiden Joko Widodo dan PM ...",https://www.instagram.com/p/CnQGAV1h_Lz/,"23 Likes, 0 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Presiden Joko Widodo dan PM Malaysia Anwar Ibrahim sepakat bekerja sama memerangi diskriminasi…""",2023-01-10
"najwashihab on Instagram: ""Pak Jokowi kalau gak ada PDIP juga… aduh ...",https://www.instagram.com/p/CnRVvzspzY4/,"""Pak Jokowi kalau gak ada PDIP juga… aduh, kasihan dah."" ⁣ ⁣ Kemarin, Ketum PDIP Megawati mengungkap perannya membuat Jokowi menjadi presiden. Saat bicara capres PDIP di 2024, Ibu Mega, seperti biasanya menekankan 'hak prerogatif ketua umum', dengan santai berucap: ""Urusan gua."" ⁣ ⁣ Dua pernyataan itu tak keliru.",2023-01-11
londi_official on Instagram: Yang diundang yang sahabat aja ya Bu Mega ...,https://www.instagram.com/p/CnRPUbwowU8/,londi_official • Original audio,2023-01-11
"Ganjar Pranowo RI1 🇮🇩 on Instagram: ""Lembaga survey Surabaya Survei ...",https://www.instagram.com/p/Cna0sKUJqXs/,"644 Likes, 41 Comments - Ganjar Pranowo RI1 🇮🇩 (@ganjarpranowo.ri1) on Instagram: ""Lembaga survey Surabaya Survei Center (SSC) merilis hasil survei elektabilitas Capres terkait…""",2023-01-14
"Sahabat Ganjar Samarinda Official's Instagram post: ""Bukti tanggung ...",https://www.instagram.com/p/CnbOm2hLKQW/,sahabatganjar_samarinda • Original audio,2023-01-14
PARTAI GELORA DORONG ANIS MATTA-FAHRI HAMZAH JADI CAPRES ... - Instagram,https://www.instagram.com/p/CnbOQlprqTw/,"""Dinamika capres dan cawapres saat ini masih bergerak dinamis dan cair. Tak hanya partai parlemen, partai baru juga turut serta mendorong kader internal untuk diusung dalam Pilpres 2024,"" kata Ketua Bapilu Partai Gelora, Rico Marbun ketika menghadiri acara 'VIVA The Interview Coffee Session' di kawasan Kemang, Jakarta Selatan, Sabtu (14/1/2023).",2023-01-14
