,index,title,href,body,date
151,151,"🇮🇩🇲🇨 MARQUEZ 🇲🇨🇲🇨 on Twitter: ""Pengamat Katakan Ganjar Pranowo Anak ...",https://twitter.com/MARQUEZ__93/status/1634159141936832517,"Pengamat Katakan Ganjar Pranowo Anak Emas Presiden Jokowi, Ya Iyalah Ganjar Pranowo Mempunyai Pengalaman Segudang Kader Partai, Anggota DPR 2 Periode, Gubernur 2 Periode, Ketua KAGAMA. Ayo Sahabat Twit Kita Sukseskan GP Presiden RI 2024 Jaga Kekompakan. Ayo Kita Saling Follow . 10 Mar 2023 11:47:55",3/10/2023
152,152,"Susan Kiara on Twitter: ""Iya sih, Bapak Prabowo semakin dipercaya jadi ...",https://twitter.com/SusanKiara2/status/1634063346696847361,"Iya sih, Bapak Prabowo semakin dipercaya jadi pemimpin sebab bisa mengelola kerja terbaik, integritas, dan kompetensinya untuk bangsa. @prabowo @gerindra IkutPakde Prabowo-Ganjar Bikin Adem Lihatnya . 10 Mar 2023 05:27:15",3/10/2023
153,153,"KITA Dukung Pakde Jokowi sampai 2024💪 on Twitter: ""Mantul kan kinerja ...",https://twitter.com/Sherin_Tiara/status/1634195687473831937,Mantul kan kinerja seorang Ganjar Pranowo Gubernur Jateng yg bisa jadi panutan bagi Pemimpin daerah lainnya untk bs terus berkontribusi besar bagi daerah yg dipimpinnya. Lihat saja Tambak Udang di Kebumen kini jadi percontohan Nasional yg diresmikan Presiden Jokowi😍 #GANTARI 🇲🇨 .,3/10/2023
154,154,"ceriaselalu😍🇮🇩 on Twitter: ""Ini dolan ke sawah bukan sembarang dolan ...",https://twitter.com/siticeriaselalu/status/1634039250525253632,"Ini dolan ke sawah bukan sembarang dolan tapi ada makna makna tersirat disana, diantara canda tawa para pemimpin Beliau2 bakalan menjadikan Indonesia sbg lumbung pangan dunia Juga tersirat bhwa masih ada Ganjar setelah Jokowi #GANTARI🇮🇩 . 10 Mar 2023 03:51:30",3/10/2023
155,155,"bujang on Twitter: ""Seruan gotong royong kembali digaungkan oleh ...",https://twitter.com/BujangeGR/status/1634553717767946240,Seruan gotong royong kembali digaungkan oleh ratusan warga di Kabupaten Gowa dalam kegiatan kerja bakti dari Sahabat Ganjar. Kerja bakti kali ini berfokus membersihkan lingkungan pemakaman setempat. #GanjarPranowo #SahabatGanjar #GanjarPilihanRakyat #SulawesiSelatan,3/11/2023
156,156,SERUAN H7 on Twitter,https://twitter.com/seruanhl/status/1634382674151481346,"""Menteri BUMN Erick Thohir dinilai sebagai cawapres yang sangat fleksibel. Karena, berpotensi untuk diusung sebagai cawapres dari dua kandidat capres potensial, yakni Ganjar Pranowo dan Prabowo Subianto. Mantap Pak @erickthohir 👍👍 #BangkitBersamaET""",3/11/2023
157,157,"SAHABAT GANJAR OFFICIAL on Twitter: ""Kanker Payudara menjadi salah satu ...",https://twitter.com/IDSahabatGanjar/status/1634473579889967107,"Kanker Payudara menjadi salah satu penyakit dengan ribuan kasus kematian yang terjadi di Indonesia. Sahabat Ganjar pada kesempatan ini menggelar workshop pencegahan kanker payudara di Kabupaten Bone, Sulawesi Selatan. #GanjarPranowo #SahabatGanjar #GanjarPilihanRakyat . 11 Mar 2023 08:37:23",3/11/2023
158,158,"Chusnul ch💞timah on Twitter: ""Ganjar terus dpt dukungan dan doa tnp ...",https://twitter.com/ch_chotimah2/status/1634388099349516288,Ganjar terus dpt dukungan dan doa tnp harus menjelekkan bangsa sendiri dihdpn bangsa lain. Rakyat tau mana pemimpin bangsa dan mana pengkhianat bangsa(t).,3/11/2023
159,159,"Kabar Burung 45 🇮🇩 on Twitter: ""Pak Ganjar Pemimpin Cerdas dan Peduli ...",https://twitter.com/KabarBurung45/status/1634413355732533248,Pak Ganjar Pemimpin Cerdas dan Peduli Rakyat. sambo pembunuh baterai 5000mah bikin adem lihatnya eliezer irish bella umur 15 teh gelas jaksel siang,3/11/2023
160,160,"Suara Indonesia on Twitter: ""Pak Jokowi dan Pak Ganjar nih bos ! dua ...",https://twitter.com/Suara62/status/1634395003614285824,"""Pak Jokowi dan Pak Ganjar nih bos ! dua pemimpin terbaik Indonesia dan Jateng. Irish Bella Umur 15 JOHNNY SUH bikin adem lihatnya Teh Gelas Jaksel #Ganjar #ganjarpranowo #GanjarHebat #19years #TheGlory2 #수수행_도경수_안보면섭섭행 #ยิ้มทั้งน้ําตา #NCTDREAM_THEDREAMSHOW2_in_BKK""",3/11/2023
161,161,Hashim: Tak Mungkin Prabowo Jadi Cawapres Ganjar di Pilpres 2024 - Twitter,https://twitter.com/CNNIndonesia/status/1634875056261087235,Hashim: Tak Mungkin Prabowo Jadi Cawapres Ganjar di Pilpres 2024. 12 Mar 2023 11:12:42,3/12/2023
