,title,url,description
15,"Weny Nistiyana on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar ...",https://www.instagram.com/p/CrSOr_KoyuX/,"11 likes, 0 comments - Weny Nistiyana (@wenynistiyana5) on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar Pranowo - Erick Thohir jadi Pilihan Utama Masyarakat Ganjar",
16,"GanjarKu on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo ...",https://www.instagram.com/p/CrS0gnkuyKp/,"11 likes, 0 comments - GanjarKu (@ganjar_ku) on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo sebagai sosok yang dekat dengan rakyat. Menurut Joko..."" GanjarKu on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo sebagai sosok yang dekat dengan rakyat.",
17,"Anggita Ciptasari on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar ...",https://www.instagram.com/p/CrSOr0cIEIj/,"39 likes, 1 comments - • Anggita Ciptasari (@anggitaciptasari3) on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar Pranowo - Erick Thohir jadi Pilihan Utama ...",
18,Page not found • Instagram,https://www.instagram.com/p/CfUB7FCrrd1/,"51 likes, 1 comments - iNews.id (@inewsdotid) on Instagram: ""Hasil survei yang dilakukan Indonesia Polling Stastions (IPS) terkait elektabilitas calon preside...""",
19,Page not found • Instagram,https://www.instagram.com/p/CbB8qzjhxzt/,"46 likes, 7 comments - INDONESIAN TRAINING CENTRE (@seminar.kesehatan_nasional) on Instagram: ""*WEBINAR DAN WORKSHOP NASIONAL* - *KUOTA TERBATAS* - D3 Farmasi Regular ...",
20,"JAKARTA INFO on Instagram: ""Menteri Pertahanan Prabowo Subianto dan ...",https://www.instagram.com/p/Cpl9Xv1P57J/,"Menteri Pertahanan Prabowo Subianto dan Gubernur Jawa Tengah Ganjar Pranowo mencuat menjadi soroan dan digembar-gemborkan sebagai pasangan capres cawapres untuk Pilpres 2024. Suara penjodohan itu muncul setelah keduanya tampil mesra saat mendampingi Presiden Jokowi kunjungan kerja ke Kebumen, Jawa Tengah hari ini, Kamis (9/3/2023).",
21,"Asumsi on Instagram: ""Saiful Mujani and Research Consulting (SMRC ...",https://www.instagram.com/p/CpMhZp2Pt7v/,"3,702 likes, 185 comments - Asumsi (@asumsico) on Instagram: ""Saiful Mujani and Research Consulting (SMRC) mengumumkan hasil survei yang menyatakan barisan mas...""",
22,"Asumsi on Instagram: ""Kemesraan Presiden Joko Widodo dengan Menteri ...",https://www.instagram.com/p/Cpwc7hKPZHo/,"1,613 Likes, 37 Comments - Asumsi (@asumsico) on Instagram: ""Kemesraan Presiden Joko Widodo dengan Menteri Pertahanan Prabowo Subianto dan Gubernur Jawa Tenga...""",
23,"Kita Garuda | Timnas Indonesia Fans on Instagram: ""Pengamat Politik ...",https://www.instagram.com/p/Cqg7Q-0SG9t/,"177 Likes, 24 Comments - Kita Garuda | Timnas Indonesia Fans (@kitagaruda.ina) on Instagram: ""Pengamat Politik Universitas Al Azhar Ujang Komarudin menyebut penolakan ...",
24,"BuddyKu Headlines on Instagram: ""Direktur Eksekutif Indikator Politik ...",https://www.instagram.com/p/CnDSCxghA9E/,"33 likes, 0 comments - BuddyKu Headlines (@buddykuofficial) on Instagram: ""Direktur Eksekutif Indikator Politik Indonesia Burhanuddin Muhtadi melihat ada beberapa ...",
25,"INDONESIA FEEDS on Instagram: ""PDIP soal Duet Prabowo-Ganjar di Pilpres ...",https://www.instagram.com/p/CqE7P9PrOR1/,"127 likes, 0 comments - INDONESIA FEEDS (@ina.feeds) on Instagram on March 21, 2023: ""PDIP soal Duet Prabowo-Ganjar di Pilpres 2024: Nggak Masuk Akal Politikus senior ...",
26,"RAKYAT BERSAMA GANJAR on Instagram: ""Dalam jajak pendapat yang ...",https://www.instagram.com/p/CqWsaZNvedp/,"32 Likes, 2 Comments - RAKYAT BERSAMA GANJAR (@rakyatbersamaganjar) on Instagram: ""Dalam jajak pendapat yang dilakukan Saiful Mujani Research and Consluting (SMRC) selama sepuluh h ...",
27,Page not found • Instagram,https://www.instagram.com/p/Cp2fps2pUrX/,"1,318 Likes, 85 Comments - Total Politik (@totalpolitikcom) on Instagram: ""Ketua Umum PKB Muhaimin Iskandar atau Cak Imin merespons munculnya wacana duet Menteri ...",
28,"BuddyKu Headlines on Instagram: ""Ketum GP Ansor Yaqut Cholil Qoumas ...",https://www.instagram.com/p/CrdcQpuNCkE/,"15 likes, 0 comments - BuddyKu Headlines (@buddykuofficial) on Instagram: ""Ketum GP Ansor Yaqut Cholil Qoumas mendukung Menteri BUMN Erick Thohir menjadi cawapres ...",
